side,name,page_link,bills,committees,district,party,title,image_url,saved_image
House,Carol Ammons,https://www.ilga.gov/house/Rep.asp?GA=102&MemberID=2877,https://www.ilga.gov/house/RepBills.asp?MemberID=2877,https://www.ilga.gov/house/RepCommittees.asp?MemberID=2877,103,D,,https://www.ilga.gov/images/members/%7BBD4B7A5C-6D24-4E82-9C18-D5A0F3C42F6C%7D.jpg,house/carol-ammons.jpg
House,"Jaime M. Andrade, Jr.",https://www.ilga.gov/house/Rep.asp?GA=102&MemberID=2875,https://www.ilga.gov/house/RepBills.asp?MemberID=2875,https://www.ilga.gov/house/RepCommittees.asp?MemberID=2875,40,D,,https://www.ilga.gov/images/members/%7B34A19039-7BF5-44A7-9A06-4EC121E52514%7D.jpg,house/jaime-m-andrade-jr.jpg
House,Dagmara Avelar,https://www.ilga.gov/house/Rep.asp?GA=102&MemberID=2999,https://www.ilga.gov/house/RepBills.asp?MemberID=2999,https://www.ilga.gov/house/RepCommittees.asp?MemberID=2999,85,D,,https://www.ilga.gov/images/members/%7BEFDA6EE7-57E6-4ACA-BE60-02A042FF5D5D%7D.jpg,house/dagmara-avelar.jpg
House,Mark Batinick,https://www.ilga.gov/house/Rep.asp?GA=102&MemberID=2878,https://www.ilga.gov/house/RepBills.asp?MemberID=2878,https://www.ilga.gov/house/RepCommittees.asp?MemberID=2878,97,R,,https://www.ilga.gov/images/members/%7B6432B106-8A75-40C0-BAE1-238FFE4DA487%7D.jpg,house/mark-batinick.jpg
House,Thomas M. Bennett,https://www.ilga.gov/house/Rep.asp?GA=102&MemberID=2879,https://www.ilga.gov/house/RepBills.asp?MemberID=2879,https://www.ilga.gov/house/RepCommittees.asp?MemberID=2879,106,R,,https://www.ilga.gov/images/members/%7B8AC89431-9F59-46C7-9D68-E141A152A362%7D.jpg,house/thomas-m-bennett.jpg
House,Chris Bos,https://www.ilga.gov/house/Rep.asp?GA=102&MemberID=3006,https://www.ilga.gov/house/RepBills.asp?MemberID=3006,https://www.ilga.gov/house/RepCommittees.asp?MemberID=3006,51,R,,https://www.ilga.gov/images/members/%7BCA8DBA10-3EFB-4B0C-88C2-641E0656B2DC%7D.jpg,house/chris-bos.jpg
House,Avery Bourne,https://www.ilga.gov/house/Rep.asp?GA=102&MemberID=2888,https://www.ilga.gov/house/RepBills.asp?MemberID=2888,https://www.ilga.gov/house/RepCommittees.asp?MemberID=2888,95,R,,https://www.ilga.gov/images/members/%7B1E0F129F-D165-4015-A615-FAB6B0DED9F0%7D.jpg,house/avery-bourne.jpg
House,Dan Brady,https://www.ilga.gov/house/Rep.asp?GA=102&MemberID=2788,https://www.ilga.gov/house/RepBills.asp?MemberID=2788,https://www.ilga.gov/house/RepCommittees.asp?MemberID=2788,105,R,,https://www.ilga.gov/images/members/%7BB8BEEC1C-5E74-479B-8640-7B3407FDF4EB%7D.jpg,house/dan-brady.jpg
House,Kambium Buckner,https://www.ilga.gov/house/Rep.asp?GA=102&MemberID=2966,https://www.ilga.gov/house/RepBills.asp?MemberID=2966,https://www.ilga.gov/house/RepCommittees.asp?MemberID=2966,26,D,,https://www.ilga.gov/images/members/%7B37E72FD2-6318-45FD-9FF1-C750EB26137D%7D.jpg,house/kambium-buckner.jpg
House,Kelly M. Burke,https://www.ilga.gov/house/Rep.asp?GA=102&MemberID=2832,https://www.ilga.gov/house/RepBills.asp?MemberID=2832,https://www.ilga.gov/house/RepCommittees.asp?MemberID=2832,36,D,,https://www.ilga.gov/images/members/%7B5D9078FA-21F1-411F-A447-B5E7299AC314%7D.jpg,house/kelly-m-burke.jpg
House,Tim Butler,https://www.ilga.gov/house/Rep.asp?GA=102&MemberID=2889,https://www.ilga.gov/house/RepBills.asp?MemberID=2889,https://www.ilga.gov/house/RepCommittees.asp?MemberID=2889,87,R,,https://www.ilga.gov/images/members/%7B8D147B40-5711-4E50-AAC8-ED40137F3B46%7D.jpg,house/tim-butler.jpg
House,Jonathan Carroll,https://www.ilga.gov/house/Rep.asp?GA=102&MemberID=2916,https://www.ilga.gov/house/RepBills.asp?MemberID=2916,https://www.ilga.gov/house/RepCommittees.asp?MemberID=2916,57,D,,https://www.ilga.gov/images/members/%7B1014E3F8-887D-4889-804E-95E5457B46BB%7D.jpg,house/jonathan-carroll.jpg
